개설영역,학년,학수번호,교과목명,강의계획서,전필,온라인,P/F,원어,Team Teaching,담당교수,학점,시간,강의시간/강의실,신청/제한인원,예비수강신청,비고
(글로벌) - AI데이터융합전공,2,M01207101,머신러닝,있음,Y,N,N,N,N,최재걸,3,3,월 4 5 6 (0310),50 / 70,28,
(글로벌) - AI데이터융합전공,2,M01202101,자료구조와알고리즘,있음,N,N,N,N,N,장원제,3,3,목 4 5 6 (2515),29 / 50,19,
(글로벌) - AI데이터융합전공,2,M01201101,통계모델링,있음,N,N,N,N,N,장혜진,3,3,수 4 5 6 (2515),41 / 50,23,
(글로벌) - AI데이터융합전공,3,M01301101,비정형데이터마이닝,있음,N,N,N,N,N,장혜진,3,3,화 4 5 6 (2515),22 / 40,10,
(글로벌) - AI융합전공,2,V41010101,고급파이썬프로그래밍,있음,N,N,N,N,N,문영인,3,3,목 4 5 6 (2302),27 / 40,20,선수과목-컴퓨팅사고 또는 파이썬프로그래밍(기초)
(글로벌) - AI융합전공,2,V41010102,고급파이썬프로그래밍,있음,N,N,N,N,N,문영인,3,3,목 1 2 3 (2302),10 / 40,12,선수과목-컴퓨팅사고 또는 파이썬프로그래밍(기초)
(글로벌) - AI융합전공,2,V41002201,컴퓨터수학,있음,N,N,N,N,N,김영란,3,3,화 4 5 6 (0513),19 / 60,16,
(글로벌) - AI융합전공,2,V41002202,컴퓨터수학,있음,N,N,N,N,N,김영란,3,3,화 7 8 9 (0513),11 / 60,10,
(글로벌) - AI융합전공(Software&AI),2,T07201201,컴퓨터논리개론,있음,N,N,N,N,N,김영란,3,3,목 7 8 9 (0311),19 / 60,21,
(글로벌) - AI융합전공(Software&AI),3,V41007201,데이터사이언스,있음,N,N,N,N,N,김재빈,3,3,수 1 2 3 (5405),51 / 60,46,
(글로벌) - AI융합전공(Software&AI),3,V41008201,알고리즘,있음,N,N,N,N,N,신찬수,3,3,수 7 8 9 (5308),43 / 60,37,
(글로벌) - AI융합전공(Software&AI),3,V41009201,운영체제,있음,N,N,N,N,N,임승호,3,3,목 1 2 3 (5309),20 / 60,23,
(글로벌) - AI융합전공(Software&AI),4,T02253601,웹프로그래밍,있음,N,N,N,N,N,고석훈,3,3,월 1 2 3 (0512),16 / 60,9,
(글로벌) - AI융합전공(Software&AI),4,V41020101,인공지능,있음,N,N,N,N,N,김재빈,3,3,목 4 5 6 (5308),48 / 60,23,
(글로벌) - AI융합전공(Software&AI),4,T07403201,종합설계,있음,N,N,N,N,N,고석훈,3,3,월 7 8 9 (0515),38 / 60,18,
(글로벌) - Business & AI 전공,2,V41012201,Business AI 개론,있음,N,N,N,N,N,김길래,3,3,월 7 8 9 (0516),36 / 45,23,*교차수업
(글로벌) - Business & AI 전공,2,V41034201,비지니스인공지능수학,있음,N,N,N,N,N,이근섭,3,3,목 1 2 3 (5208),11 / 45,7,*교차수업
(글로벌) - Business & AI 전공,3,V41023201,Business AI 사례연구,있음,N,N,N,N,N,신진호,3,3,화 4 5 6 (5208),14 / 45,12,*교차수업
(글로벌) - Business & AI 전공,4,V41035101,비즈니스시계열분석,있음,N,N,N,N,N,이용웅,3,3,수 4 5 6 (5208),17 / 45,12,*교차수업
(글로벌) - Finance & AI융합전공,2,M02202201,금융회귀분석,있음,N,N,N,N,N,이선순,3,3,월 4 5 6 (0514),24 / 110,10,
(글로벌) - Finance & AI융합전공,2,M02201101,데이터구조,있음,N,N,N,N,N,안민정,3,3,금 7 8 9 (0306),10 / 110,8,
(글로벌) - Finance & AI융합전공,2,M02203101,파이썬통계학습,있음,N,N,N,N,N,공형우,3,3,목 4 5 6 (0212),25 / 110,14,
(글로벌) - Finance & AI융합전공,3,M02301101,데이터마이닝,있음,N,N,N,N,N,공형우,3,3,화 7 8 9 (0305),7 / 110,4,
(글로벌) - Finance & AI융합전공,3,M02304101,빅데이터분석,있음,N,N,N,N,N,안민정,3,3,금 4 5 6 (0305),3 / 110,1,
(글로벌) - Finance & AI융합전공,3,M02302101,빅데이터시각화,있음,N,N,N,N,N,이선순,3,3,월 7 8 9 (0514),22 / 110,9,
(글로벌) - Global Business & Technology전공,1,P05104101,GBT Special Lecture,있음,N,N,Y,N,Y,이경율,1,1,목 10 (2201),174 / 200,60,"[1전공,이중,부]"
(글로벌) - Global Business & Technology전공,1,D01205A01,회계원리,있음,Y,N,N,N,N,김문현,3,3,월 1 2 3 (4403),58 / 60,30,"[1전공,이중,부]"
(글로벌) - Global Business & Technology전공,1,D01205A02,회계원리,있음,Y,N,N,N,N,김문현,3,3,월 4 5 6 (4403),58 / 60,36,"[1전공,이중,부]"
(글로벌) - Global Business & Technology전공,1,D01205A03,회계원리,있음,Y,N,N,N,N,이윤기,3,3,화 4 5 6 (4403),59 / 60,28,"[1전공,이중,부]"
(글로벌) - Global Business & Technology전공,1,D01205A04,회계원리,있음,Y,N,N,N,N,이윤기,3,3,화 7 8 9 (4403),58 / 60,23,"[1전공,이중,부]"
(글로벌) - Global Business & Technology전공,2,P05209101,AI를위한기초알고리즘,있음,N,N,N,N,N,배주호,3,3,수 4 5 6 (4207),40 / 40,49,"이공계 수강제한, [1전공,이중,부]"
(글로벌) - Global Business & Technology전공,2,P05208101,객체지향프로그래밍,있음,N,N,N,N,N,한영진,3,3,수 4 5 6 (4212),26 / 40,17,"이공계 수강제한, [1전공,이중,부]"
(글로벌) - Global Business & Technology전공,2,P05201101,데이터구조,있음,N,N,N,N,N,이근섭,3,3,목 7 8 9 (4207),29 / 40,25,"이공계 수강제한, [1전공,이중,부]"
(글로벌) - Global Business & Technology전공,2,D10405701,마케팅관리,있음,N,N,N,N,N,한상식,3,3,목 7 8 9 (4403),64 / 66,56,"[1전공,이중,부]"
(글로벌) - Global Business & Technology전공,2,D10405702,마케팅관리,있음,N,N,N,N,N,전종근,3,3,화 1 2 3 (4403),40 / 60,29,"[1전공,이중,부]"
(글로벌) - Global Business & Technology전공,2,P05101201,비즈니스영작과발표,있음,N,N,N,Y,N,Terrill Reid McLain,3,3,수 1 2 3 (4415),25 / 30,19,"[1전공,이중,부]"
(글로벌) - Global Business & Technology전공,2,P05101202,비즈니스영작과발표,있음,N,N,N,Y,N,Terrill Reid McLain,3,3,목 4 5 6 (4415),29 / 30,19,"[1전공,이중,부]"
(글로벌) - Global Business & Technology전공,3,D03467501,국제경영전략,있음,N,N,N,N,N,이경율,3,3,목 1 2 3 (4403),63 / 65,47,"[1전공,이중,부]"
(글로벌) - Global Business & Technology전공,3,D03467502,국제경영전략,있음,N,N,N,N,N,이경율,3,3,목 4 5 6 (4403),68 / 70,68,"[1전공,이중,부]"
(글로벌) - Global Business & Technology전공,3,P01309201,국제마케팅,있음,N,N,N,N,N,전종근,3,3,월 4 5 6 (4418),44 / 60,32,"[1전공,이중,부]"
(글로벌) - Global Business & Technology전공,3,P05312201,글로벌혁신및기업가정신,있음,N,N,N,Y,N,Tae Young Choi,3,3,화 4 5 6 (4207),21 / 30,22,"[1전공,이중,부]"
(글로벌) - Global Business & Technology전공,3,P01459301,다국적기업론,있음,N,N,N,N,N,현재훈,3,3,화 7 8 9 (4411),39 / 60,36,"[1전공,이중,부], 경상대 전학과"
(글로벌) - Global Business & Technology전공,3,P05304201,데이터베이스,있음,N,N,N,N,N,배주호,3,3,수 7 8 9 (4207),40 / 40,48,"이공계 수강제한, [1전공,이중,부]"
(글로벌) - Global Business & Technology전공,3,P05311101,디지털마케팅실습,있음,N,N,Y,N,N,조명환,3,3,목 7 8 9 (2502),59 / 60,39,"[1전공,이중,부]"
(글로벌) - Global Business & Technology전공,3,P05309101,빅데이터분석,있음,N,N,N,N,N,서성현,3,3,금 4 5 6 (0213),13 / 40,16,"이공계 수강제한, [1전공,이중,부]"
(글로벌) - Global Business & Technology전공,3,P05308201,소셜콘텐츠분석,있음,N,N,N,N,N,이정,3,3,목 1 2 3 (4207),27 / 30,17,"[1전공,이중,부]"
(글로벌) - Global Business & Technology전공,3,P05307101,인적자원관리,있음,N,N,N,N,N,최누리,3,3,수 4 5 6 (2214),57 / 61,67,"[1전공,이중,부]"
(글로벌) - Global Business & Technology전공,4,D03455201,IT와경영전략,있음,N,N,N,N,N,김병초,3,3,화 4 5 6 (4404),13 / 60,7,"[1전공,이중,부]"
(글로벌) - Global Business & Technology전공,4,P05412101,비즈니스머신러닝,있음,N,N,N,N,N,이근섭,3,3,월 1 2 3 (4207),10 / 40,9,"이공계 수강제한, [1전공,이중,부]"
(글로벌) - Global Business & Technology전공,4,P05406201,졸업프로젝트실습(캡스톤디자인),있음,Y,N,Y,N,Y,배주호,3,3,수 10 11 12 (4403),28 / 60,13,[GBT 1전공]
(글로벌) - ICT&AI세부모듈,2,I12201101,Computer Mathematics,있음,Y,N,N,N,N,서성현,3,3,금 1 2 3 (0213),19 / 30,24,
(글로벌) - ICT&AI세부모듈,2,I12202101,Computer Programming,있음,N,N,N,N,N,김은경,3,3,수 7 8 9 (0212),21 / 30,14,
(글로벌) - ICT&AI세부모듈,3,I12301101,Algorithm,있음,N,N,N,N,N,김희철,3,3,화 7 8 9 (0213),27 / 30,16,
(글로벌) - ICT&AI세부모듈,3,I12302101,Data Science,있음,N,N,N,N,N,손기락,3,3,목 1 2 3 (0212),10 / 30,13,융인대외 수강제한
(글로벌) - ICT&AI세부모듈,3,I12303101,Web and UI Programming,있음,N,N,N,N,N,서성현,3,3,금 7 8 9 (0212),13 / 30,10,
(글로벌) - ICT&AI세부모듈,4,I12402101,Game Programming,있음,N,N,N,N,N,박민규,3,3,금 1 2 3 (0212),14 / 30,11,
(글로벌) - TESOL영어학전공,2,N01205201,TESOL듣기말하기지도법,있음,N,N,N,N,N,손은미,3,3,월 7 8 9 (1402),11 / 40,9,
(글로벌) - TESOL영어학전공,3,N01398101,IT활용영어교육,있음,N,N,N,N,N,이정아,3,3,월 1 2 3 (1402),19 / 40,18,
(글로벌) - TESOL영어학전공,3,N01308101,TESOL현장실습,있음,N,N,Y,N,N,최호성,2,2,목 1 2 (1410),8 / 6,15,
(글로벌) - TESOL영어학전공,3,N01386101,영어문장연구,있음,N,N,N,N,N,김다정,3,3,수 1 2 3 (1402),25 / 40,22,
(글로벌) - TESOL영어학전공,3,A01398401,영어사,있음,N,N,N,N,N,박수진,3,3,수 4 5 6 (0413),35 / 40,20,
(글로벌) - TESOL영어학전공,3,N01347101,외국어습득론,있음,N,N,N,Y,N,김지현,3,3,화 4 5 6 (0306),22 / 40,17,
(글로벌) - TESOL영어학전공,4,N01412101,어린이영어교육,있음,N,N,N,N,N,이정아,3,3,월 4 5 6 (1402),19 / 40,15,
(글로벌) - 게임한류문화산업세부모듈,2,I10204201,Imagination Practice,있음,N,N,N,N,N,김세익,3,3,금 1 2 3 (0504),22 / 30,17,
(글로벌) - 게임한류문화산업세부모듈,2,I10201101,Korean Wave & Contents Industries,있음,N,N,N,N,N,이지이,3,3,금 4 5 6 (0514),13 / 30,12,
(글로벌) - 게임한류문화산업세부모듈,3,I10301101,Game Planning & Criticism,있음,N,N,N,N,N,신정아,3,3,월 1 2 3 (0509),26 / 30,16,
(글로벌) - 게임한류문화산업세부모듈,3,I10302101,Web-contents Decoding Practice,있음,N,N,N,N,N,김영진,3,3,화 4 5 6 (0403),25 / 30,17,
(글로벌) - 게임한류문화산업세부모듈,4,I10401101,Game Development & Video Making Practice,있음,N,N,N,N,N,곽효민,3,3,월 1 2 3 (0505),9 / 30,4,
(글로벌) - 게임한류문화산업세부모듈,4,I10402101,Korean Wave & Exchanging Global Culture,있음,N,N,N,N,N,조영한,3,3,월 7 8 9 (0505),5 / 30,3,
(글로벌) - 공과대학(공통),1,T04103901,이산수학,있음,N,N,N,N,N,한희일,3,3,월 7 8 목 3 (5206),65 / 67,48,정보통신공학과 우선 수강
(글로벌) - 공과대학(공통),1,T04103902,이산수학,있음,N,N,N,N,N,정유진,3,3,화 3 목 1 2 (0214),33 / 60,18,"컴퓨터공학부 1학년만 신청 가능, 컴퓨터프로그래밍(교양, U72207401) 신청"
(글로벌) - 공과대학(공통),1,T04103903,이산수학,있음,N,N,N,N,N,윤일동,3,3,화 1 2 목 3 (0310),63 / 65,44,"컴퓨터공학부 1학년만 신청 가능, 컴퓨터프로그래밍(교양, U72207402) 신청"
(글로벌) - 공과대학(공통),1,T04103904,이산수학,있음,N,N,N,N,N,정유진,3,3,화 1 2 목 3 (0214),29 / 60,16,"컴퓨터공학부 타학년 우선 신청, 타전공(이중전공 및 부전공 포함)은 전체날만 신청 가능"
(글로벌) - 공과대학(공통),2,T01222201,오픈소스SW,있음,N,N,N,Y,N,Ikram Syed,3,3,금 1 2 3 (5405),53 / 61,39,정보통신공학과 우선 수강
(글로벌) - 공과대학(공통),2,T01222202,오픈소스SW,있음,N,N,N,N,N,전병환,3,3,수 7 8 금 5 (5405),71 / 74,78,"컴퓨터공학부 2학년 우선 신청, 컴퓨터공학부 타학년과 타전공(이중전공 및 부전공 포함)은 전체날만 신청 가능"
(글로벌) - 광고·PR·브랜딩전공,2,C03303102,P.R의이해,있음,Y,N,N,N,N,서미라,3,3,화 4 5 6 (0402),54 / 60,26,
(글로벌) - 광고·PR·브랜딩전공,2,C03301102,광고의이해,있음,Y,N,N,N,N,오혜라,3,3,목 4 5 6 (0518),60 / 60,30,
(글로벌) - 광고·PR·브랜딩전공,2,C03469101,소비자데이터프로세싱,있음,N,N,N,N,N,오혜라,3,3,목 7 8 9 (0212),31 / 60,30,실습 교과목
(글로벌) - 광고·PR·브랜딩전공,4,C03489102,공공브랜딩,있음,N,N,N,N,N,이효복,3,3,화 7 8 9 (0512),27 / 60,21,
(글로벌) - 교육학,3,V43221201,과학교과교육론,있음,N,N,N,N,N,윤정현,3,3,수 1 2 3 (2404-1),3 / 25,2,
(글로벌) - 교육학,3,V43504101,과학논리및논술,있음,N,N,N,N,N,윤정현,2,2,금 3 4 (2404-1),2 / 25,1,
(글로벌) - 교육학,3,V43251201,상업정보교과교육론,있음,N,N,N,N,N,김미정,3,3,금 4 5 6 (2315-1),1 / 25,1,
(글로벌) - 교육학,3,V43502101,상업정보논리및논술,있음,N,N,N,N,N,김미정,2,2,금 7 8 (2315-1),1 / 25,1,
(글로벌) - 교육학,3,V43211201,수학교과교육론,있음,N,N,N,N,N,박성호,3,3,수 1 2 3 (3310),5 / 25,3,
(글로벌) - 교육학,3,V43201201,외국어교과교육론,있음,N,N,N,N,N,박국정,3,3,수 4 5 6 (2315-1),5 / 25,5,
(글로벌) - 교육학,3,V43203201,외국어교재연구및지도법,있음,N,N,N,N,N,강희연,3,3,목 1 2 3 (2404-1),6 / 25,3,
(글로벌) - 교육학,3,V43501101,외국어논리및논술,있음,N,N,N,N,N,강희연,2,2,목 5 6 (2404-1),4 / 25,2,
(글로벌) - 교육학,3,U51221201,철학교과교육론,있음,N,N,N,N,N,이슬희,3,3,화 7 8 9 (4213),5 / 25,3,2~3주 이후 강의 시작
(글로벌) - 교육학,3,V43503101,철학논리및논술,있음,N,N,N,N,N,이슬희,2,2,화 5 6 (4213),4 / 25,2,2~3주 이후 강의 시작
(글로벌) - 교육학,2,V43254201,교육봉사활동,있음,N,N,Y,N,N,김사훈,2,2,월 1 2 (2404-1),14 / 80,13,
(글로벌) - 교육학,2,E11301101,교육심리,있음,N,N,N,N,N,박미연,2,2,화 3 4 (2407-1),11 / 30,7,
(글로벌) - 교육학,2,E11202101,교육철학및교육사,있음,N,N,N,N,N,김문숙,2,2,목 3 4 (2315-1),10 / 30,7,
(글로벌) - 교육학,3,V43407301,교육과정,있음,N,N,N,N,N,김사훈,2,2,월 3 4 (2404-1),11 / 30,6,
(글로벌) - 교육학,3,E11304101,교육방법및교육공학,있음,N,N,N,N,N,윤순경,2,2,목 5 6 (2315-1),12 / 30,6,
(글로벌) - 교육학,3,E11315101,특수교육의이해,있음,N,N,N,N,N,양현규,2,2,화 5 6 (2407-1),7 / 30,3,
(글로벌) - 교육학,3,E11456101,학교폭력예방및학생의이해,있음,N,N,N,N,N,조원기,2,2,수 5 6 (2402),9 / 30,10,
(글로벌) - 교육학,4,E11453301,교육사회학,있음,N,N,N,N,N,김문숙,2,2,목 7 8 (2315-1),8 / 30,3,
(글로벌) - 교육학,4,E11311101,교직실무,있음,N,N,N,N,N,조원기,2,2,수 7 8 (2402),11 / 30,4,
(글로벌) - 교육학,4,E11401301,학교현장실습,있음,N,N,N,N,N,김사훈,2,2,월 5 6 (2404-1),21 / 80,7,
(글로벌) - 국가리더전공(글로벌),2,G10003201,범죄와형벌I,있음,N,N,N,N,N,손의태,3,3,목 1 2 3 (0401),37 / 80,29,
(글로벌) - 국가리더전공(글로벌),2,G10202101,사적거래의기초,있음,N,N,N,N,N,박희호,3,3,월 4 5 6 (0512),33 / 80,25,
(글로벌) - 국가리더전공(글로벌),2,G10001101,인권의제도적보호,있음,N,N,N,N,N,강현철,3,3,수 7 8 9 (0512),24 / 80,26,
(글로벌) - 국가리더전공(글로벌),3,G10308101,계약을통한거래,있음,N,N,N,N,N,박진아,3,3,수 4 5 6 (2504),51 / 80,43,
(글로벌) - 국가리더전공(글로벌),3,G10309101,범죄와형사재판,있음,N,N,N,N,N,채다은,3,3,수 1 2 3 (0301),35 / 80,32,
(글로벌) - 국가리더전공(글로벌),3,G10002201,행정과규범,있음,N,N,N,N,N,최승필,3,3,화 4 5 6 (0310),45 / 80,28,
(글로벌) - 국가리더전공(글로벌),4,G10406101,경제로바라보는규범,있음,N,N,N,N,N,정현아,3,3,금 1 2 3 (0512),8 / 60,7,
(글로벌) - 국가리더전공(글로벌),4,G10428101,법률영어,있음,N,N,N,N,N,Marguerite Yunmie Kim,3,3,목 4 5 6 (0512),12 / 60,10,
(글로벌) - 국제금융학과,2,P01305301,금융시장론,있음,Y,N,N,N,N,백재승,3,3,화 1 2 3 (0301),61 / 63,37,국금 1전공
(글로벌) - 국제금융학과,2,P01305302,금융시장론,있음,Y,N,N,N,N,나찬휘,3,3,화 4 5 6 (2213),88 / 88,92,"국금 1전공,이중(부)전공"
(글로벌) - 국제금융학과,2,D02207601,미시경제학,있음,N,N,N,N,N,민윤지,3,3,수 1 2 3 (4403),70 / 76,66,
(글로벌) - 국제금융학과,2,D01311601,재무관리,있음,Y,N,N,N,N,이용웅,3,3,화 1 2 3 (4411),80 / 80,82,"국금 1전공,이중(부)전공"
(글로벌) - 국제금융학과,2,D01311602,재무관리,있음,Y,N,N,N,N,이용웅,3,3,목 7 8 9 (4411),79 / 85,25,국금 1전공
(글로벌) - 국제금융학과,2,P01452401,재무회계,있음,N,N,N,N,N,정균태,3,3,수 7 8 9 (4403),62 / 68,61,강사 미배정
(글로벌) - 국제금융학과,3,P01314101,글로벌금융과무역특강,있음,N,N,Y,N,N,백재승,3,3,화 7 8 9 (0102),167 / 170,92,
(글로벌) - 국제금융학과,3,P01310101,금융프로그래밍,있음,N,N,N,N,N,권태연,3,3,목 7 8 9 (4405),26 / 40,16,
(글로벌) - 국제금융학과,3,D01405601,마케팅관리,있음,N,N,N,N,N,서여주,3,3,화 7 8 9 (4214),29 / 60,45,강사 미배정으로 인해 수강정정기간 신청
(글로벌) - 국제금융학과,3,P01364301,무역경영,있음,N,N,N,N,N,신진호,3,3,월 4 5 6 (4219),59 / 61,31,"국금 1전공,이중(부)전공"
(글로벌) - 국제금융학과,3,P01364302,무역경영,있음,N,N,N,N,N,장은갑,3,3,금 4 5 6 (4219),17 / 61,17,국금 1전공
(글로벌) - 국제금융학과,3,P01403101,보험의이해,있음,N,N,N,N,N,박홍민,3,3,월 1 2 3 (4219),32 / 61,20,국금 1전공
(글로벌) - 국제금융학과,3,P01403102,보험의이해,있음,N,N,N,N,N,이천영,3,3,목 1 2 3 (4411),50 / 65,35,"국금 1전공,이중(부)전공"
(글로벌) - 국제금융학과,3,P01317101,화폐금융론,있음,N,N,N,N,N,김용식,3,3,월 4 5 6 (4411),61 / 68,36,
(글로벌) - 국제금융학과,4,P01416101,고급비즈니스어낼리틱스실습,있음,N,N,Y,N,N,권태연,3,3,수 7 8 9 (4405),17 / 40,10,
(글로벌) - 국제금융학과,4,P01406101,대체투자론,있음,N,N,N,N,N,조용구,3,3,금 7 8 9 (4215),11 / 60,16,
(글로벌) - 국제금융학과,4,P01204401,무역영어,있음,N,N,N,N,N,장은갑,3,3,금 7 8 9 (4219),22 / 60,19,
(글로벌) - 국제금융학과,4,P01413101,세법개론,없음,N,N,N,N,N,정균태,3,3,수 4 5 6 (4219),51 / 60,30,
(글로벌) - 국제금융학과,4,P01401301,외환시장의이해,있음,N,N,N,N,N,서재웅,3,3,목 1 2 3 (4219),35 / 62,18,국금 1전공
(글로벌) - 국제금융학과,4,P01401302,외환시장의이해,있음,N,N,N,N,N,서재웅,3,3,목 4 5 6 (4219),62 / 63,54,"국금 1전공,이중(부)전공"
(글로벌) - 그리스‧불가리아학과,1,N08130301,고대그리스와고전학입문,있음,Y,N,N,N,N,김혜진(H),2,2,화 1 2 (1312),25 / 50,19,
(글로벌) - 그리스‧불가리아학과,1,N08131301,그리스언어와문화콘텐츠,있음,N,N,N,N,N,김혜진(P),2,2,월 5 6 (2307),17 / 40,13,
(글로벌) - 그리스‧불가리아학과,1,N08116301,불가리아학입문,있음,Y,N,N,N,N,이하얀,2,2,목 1 2 (1507-1),15 / 40,11,
(글로벌) - 그리스‧불가리아학과,1,N08107201,초급그리스어문법(1),있음,Y,N,N,Y,N,김혜진(P),2,2,월 7 8 (2307),20 / 40,15,
(글로벌) - 그리스‧불가리아학과,1,N08103401,초급그리스어회화(1),있음,Y,N,N,Y,N,한이슬,3,3,목 1 2 3 (1501),20 / 40,15,
(글로벌) - 그리스‧불가리아학과,1,N08111401,초급불가리아어(1),있음,Y,N,N,N,N,채유정,3,3,금 4 5 6 (1312),10 / 40,7,
(글로벌) - 그리스‧불가리아학과,1,N08134201,초급불가리아어텍스트이해(1),있음,Y,N,N,Y,N,Spas Angelov Rangelov,2,2,목 3 4 (1409-2),14 / 40,8,
(글로벌) - 그리스‧불가리아학과,1,N08109401,초급불가리아어회화(1),있음,Y,N,N,Y,N,Atanasova Lyudmila Atanasova,3,3,화 4 5 6 (1403),11 / 40,7,
(글로벌) - 그리스‧불가리아학과,1,N08127401,한국과유럽문화비교답사(종합설계),있음,N,N,Y,N,N,오혜라,1,1,목 10 (0515),22 / 40,15,
(글로벌) - 그리스‧불가리아학과,2,N08227301,고대그리스역사,있음,Y,N,N,N,N,최자영,2,2,화 3 4 (1312),31 / 40,16,
(글로벌) - 그리스‧불가리아학과,2,N08242201,멀티미디어불가리아어,있음,N,N,N,Y,N,Spas Angelov Rangelov,2,2,수 1 2 (1308),5 / 20,3,
(글로벌) - 그리스‧불가리아학과,2,N08355501,불가리아와북마케도니아,있음,N,N,N,Y,N,Spas Angelov Rangelov,2,2,수 7 8 (1308),9 / 20,7,
(글로벌) - 그리스‧불가리아학과,2,N08203301,중급그리스어문법과강독(1),있음,Y,N,N,N,N,김혜진(P),3,3,수 1 2 3 (2404),29 / 40,16,
(글로벌) - 그리스‧불가리아학과,2,N08209401,중급그리스어작문과회화(1),있음,Y,N,N,Y,N,CHARATSIDOU ELLADA,3,3,월 1 2 3 (1501),27 / 40,13,
(글로벌) - 그리스‧불가리아학과,2,N08211301,중급불가리아어(1),있음,Y,N,N,N,N,채유정,3,3,수 5 6 (1303),7 / 20,3,
(글로벌) - 그리스‧불가리아학과,2,N08219401,중급불가리아어회화(1),있음,Y,N,N,Y,N,Atanasova Lyudmila Atanasova,3,3,월 1 2 3 (1409-2),7 / 20,4,
(글로벌) - 그리스‧불가리아학과,2,N08222301,현대그리스의산업과경제(종합설계),있음,N,N,N,N,N,한이슬,2,2,금 1 2 (1501),10 / 20,6,
(글로벌) - 그리스‧불가리아학과,3,N07339501,고대그리스로마시각문화연구,있음,N,N,N,N,N,김혜진(H),2,2,금 5 6 (1501),10 / 20,9,
(글로벌) - 그리스‧불가리아학과,3,N08225401,그리스로마신화연구,있음,N,N,N,N,N,최자영,2,2,화 7 8 (1312),11 / 20,8,
(글로벌) - 그리스‧불가리아학과,3,N08439301,불가리아와유럽연합,있음,N,N,N,N,N,이하얀,2,2,목 7 8 (1313),11 / 20,5,
(글로벌) - 그리스‧불가리아학과,3,N08232301,불가리아인을위한한국문화교육론,있음,N,N,N,N,N,채유정,2,2,금 1 2 (1312),8 / 20,8,
(글로벌) - 그리스‧불가리아학과,3,N08307401,비즈니스와사회생활을위한그리스어실습1,있음,N,N,N,Y,N,한이슬,2,2,목 5 6 (1501),7 / 20,6,
(글로벌) - 그리스‧불가리아학과,3,N08301501,인공지능을활용한고급그리스어통번역연습1,있음,N,N,N,N,N,한이슬,2,2,금 3 4 (1501),12 / 20,7,
(글로벌) - 그리스‧불가리아학과,3,N08361301,테마별중급불가리아어(1),있음,N,N,N,Y,N,Spas Angelov Rangelov,2,2,목 1 2 (1409-2),7 / 20,5,
(글로벌) - 그리스‧불가리아학과,3,N08366201,흑해지역사회문화연구,있음,N,N,N,Y,N,BEREJIANI OTAR,2,2,화 7 8 (1403),9 / 20,5,
(글로벌) - 그리스‧불가리아학과,4,N08405401,FLEX그리스어1,있음,N,N,N,N,N,김혜진(P),3,3,수 4 5 6 (2307),15 / 20,7,
(글로벌) - 그리스‧불가리아학과,4,N08331401,FLEX불가리아어(1),있음,N,N,N,Y,N,Atanasova Lyudmila Atanasova,2,2,금 1 2 (1409-2),6 / 20,1,
(글로벌) - 그리스‧불가리아학과,4,N08427401,불가리아무역실습(종합설계)(1),있음,N,N,Y,N,N,채유정,2,2,금 7 8 (1312),11 / 20,5,
(글로벌) - 그리스‧불가리아학과,4,N08411401,슬라브문학명장면,있음,N,N,N,Y,N,Atanasova Lyudmila Atanasova,2,2,금 3 4 (1409-2),7 / 20,6,
(글로벌) - 글로벌e스포츠매니지먼트전공,2,S01417301,글로벌e스포츠산업론,있음,Y,N,N,N,Y,서형석,3,3,화 4 5 6 (1511),29 / 50,17,"서형석, 류윤지 팀티칭 진행"
(글로벌) - 글로벌e스포츠매니지먼트전공,3,S01332101,글로벌e스포츠컨텐츠기획및실습,있음,N,N,N,N,Y,류윤지,3,3,화 7 8 9 (1511),5 / 30,6,"류윤지, 서형석 팀티칭 진행"
(글로벌) - 글로벌e스포츠매니지먼트전공,4,S01331201,글로벌e스포츠시설관리론,있음,Y,N,N,N,N,서형석,3,3,수 1 2 3 (0412),8 / 40,5,
(글로벌) - 글로벌e스포츠매니지먼트전공,4,S01421101,글로벌e스포츠프랙티스실습2,있음,N,N,Y,N,N,서형석,3,3,수 4 5 6 (5406),11 / 30,10,
(글로벌) - 글로벌스포츠산업전공,2,S01305501,스포츠ESG파트너십,있음,Y,N,N,N,N,이승필,3,3,수 4 5 6 (0301),41 / 60,25,스포츠비즈니스스폰서십실무(2학기 수업) 대체 가능
(글로벌) - 글로벌스포츠산업전공,2,S01311201,스포츠경영연구법,있음,Y,N,N,N,N,김남수,3,3,목 1 2 3 (2301),84 / 100,57,
(글로벌) - 글로벌스포츠산업전공,2,S01104501,스포츠마케팅실무실습,있음,Y,N,N,N,N,박성희,3,3,화 7 8 9 (0209),70 / 100,28,스포츠경영학개론 선수강자만 수강 가능
(글로벌) - 글로벌스포츠산업전공,3,S01129201,스포츠미디어기획및창착실습(캡스톤),있음,N,N,Y,N,N,이승구,3,3,월 4 5 6 (0212),25 / 30,13,"3,4학년 수강 권장, 1학년 수강 불가"
(글로벌) - 글로벌스포츠산업전공,3,S01318201,스포츠방송저널리즘실습,있음,N,N,Y,N,N,이승구,3,3,월 7 8 9 (0212),32 / 35,25,"3,4학년 수강 권장, 1학년 수강 불가"
